inventory_id,word,make,model,model_year,sold_price,sold_date,winner_bidder_number,auction_number
30147,Suspendisse,Toyota,Tacoma Access Cab,2018,138.95,2018-05-10,10147,200147
30148,vulputate,Mercedes-Benz,CL-Class,2005,17,2017-04-25,10148,200148
30149,condimentum,HUMMER,H1,1996,10,2010-06-11,10149,200149
30150,gravida,Honda,Element,2008,86.95,2022-03-07,10150,200150
30151,amet,Nissan,Quest,2002,45.95,2015-04-14,10151,200151
30152,quis,Ford,Edge,2017,49.95,2014-01-21,10152,200152
30153,libero,BMW,X1,2018,143.95,2020-11-22,10153,200153
30154,id,Mercedes-Benz,Mercedes-AMG S-Class,2018,60.95,2021-06-06,10154,200154
30155,ut,GMC,Sierra 2500 Crew Cab,2004,18.95,2012-08-21,10155,200155
30156,id,GMC,Canyon Regular Cab,2005,94.95,2010-05-22,10156,200156
30157,sit,GMC,Jimmy,2001,62.95,2015-05-08,10157,200157
30158,gravida,Mercedes-Benz,SL-Class,1994,11.95,2015-11-16,10158,200158
30159,ac,Volvo,C70,2003,153,2012-09-05,10159,200159
30160,amet,GMC,Savana 2500 Passenger,2018,137,2012-08-07,10160,200160
30161,In,Buick,LeSabre,2004,72,2018-05-19,10161,200161
30162,finibus,Chevrolet,Malibu,2007,158.99,2016-01-30,10162,200162
30163,enim,Chrysler,Concorde,2003,116.99,2018-10-06,10163,200163
30164,vitae,Isuzu,Axiom,2003,103.95,2021-04-05,10164,200164
30165,quis,Chevrolet,Silverado 3500 HD Crew Cab,2013,98.99,2021-01-04,10165,200165
30166,magna,Lexus,ES,1995,26.95,2015-06-29,10166,200166
30167,ex,Isuzu,Oasis,1998,119.95,2021-03-01,10167,200167
30168,vitae,Volvo,960,1994,168.99,2019-03-13,10168,200168
30169,eros,GMC,Safari Passenger,2001,192.99,2021-07-27,10169,200169
30170,diam,BMW,M3,1995,17.95,2015-11-15,10170,200170
30171,ut,Mitsubishi,Montero,2002,156.95,2010-04-12,10171,200171
30172,blandit,Acura,ZDX,2012,140.95,2010-09-27,10172,200172
30173,ultrices,Ferrari,F12berlinetta,2015,23.99,2013-01-16,10173,200173
30174,bibendum,Audi,S6,2009,196.99,2022-04-09,10174,200174
30175,at,Kia,Soul,2010,87,2013-01-20,10175,200175
30176,Curabitur,MINI,Hardtop,2012,65,2021-08-13,10176,200176
30177,tincidunt,Jaguar,XJ,2008,35.95,2018-09-16,10177,200177
30178,est,Mercury,Capri,1994,185,2022-03-26,10178,200178
30179,lobortis,Lexus,GS,1993,196,2020-12-11,10179,200179
30180,eget,Chevrolet,Colorado Extended Cab,2006,194.99,2012-11-07,10180,200180
30181,ipsum,Volvo,240,1992,182.99,2016-09-12,10181,200181
30182,consequat,Nissan,240SX,1994,126.95,2011-03-07,10182,200182
30183,id,Subaru,Forester,2016,16.99,2018-05-11,10183,200183
30184,Vestibulum,Land Rover,Range Rover Velar,2019,108,2019-11-05,10184,200184
30185,nulla,Honda,HR-V,2016,15.95,2010-11-13,10185,200185
30186,fermentum,Volvo,V70,2008,27.95,2015-09-30,10186,200186
30187,elit,Saab,900,1994,183,2016-04-20,10187,200187
30188,Curabitur,Volvo,C70,2013,165.99,2021-09-23,10188,200188
30189,tortor,HUMMER,H2,2006,160,2019-06-10,10189,200189
30190,Donec,Buick,Enclave,2013,48,2012-12-24,10190,200190
30191,quis,Chevrolet,Aveo,2004,196.99,2015-09-24,10191,200191
30192,convallis,Toyota,Celica,1994,71.99,2019-03-14,10192,200192
30193,euismod,Chevrolet,Monte Carlo,2000,117.99,2012-03-23,10193,200193
30194,maximus,Buick,Century,2005,57.99,2012-12-24,10194,200194
30195,Nam,Dodge,Ram 2500 Regular Cab,2003,145.95,2016-08-05,10195,200195
30196,dui,Ford,Escape,2002,84,2010-12-12,10196,200196
30197,ipsum,Chevrolet,Express 2500 Passenger,2006,52.95,2021-07-24,10197,200197
30198,at,Kia,Optima,2017,50.99,2020-05-18,10198,200198
30199,amet,Dodge,Caravan Passenger,1999,158,2022-04-18,10199,200199
30200,non,Volvo,S70,1999,171.99,2010-07-01,10200,200200
30201,ac,Ford,Aerostar Cargo,1994,197.99,2018-03-09,10201,200201
30202,Curabitur,Chevrolet,Monte Carlo,2003,146.95,2016-03-07,10202,200202
30203,nec,Lotus,Exige,2009,149.95,2014-01-06,10203,200203
30204,iaculis,Mercedes-Benz,Mercedes-AMG GLE,2019,76.99,2019-06-06,10204,200204
30205,dapibus,Dodge,Caliber,2010,27.95,2016-01-21,10205,200205
30206,Donec,Audi,S4,2010,40.99,2015-04-17,10206,200206
30207,quis,Ford,Windstar Passenger,1995,152.95,2022-05-29,10207,200207
30208,Donec,Lexus,SC,2002,62.95,2021-01-06,10208,200208
30209,in,Hyundai,Accent,2001,12,2017-12-16,10209,200209
30210,risus,Dodge,Avenger,2009,125.99,2012-04-13,10210,200210
30211,interdum,Ford,Explorer Sport,2000,124.99,2022-07-31,10211,200211
30212,eu,Acura,RSX,2002,157,2017-10-19,10212,200212
30213,posuere,Ford,F350 Super Duty Crew Cab,2013,174.99,2018-11-10,10213,200213
30214,vel,Plymouth,Neon,1999,39,2012-03-20,10214,200214
30215,Curabitur,Volvo,XC70,2008,78.99,2015-08-18,10215,200215
30216,in,GMC,Yukon,2010,172.99,2016-10-13,10216,200216
30217,mauris,Honda,Civic,2012,45.95,2022-10-15,10217,200217
30218,Vestibulum,MAZDA,Protege,1997,69.99,2010-07-30,10218,200218
30219,montes,Ram,3500 Mega Cab,2012,192.95,2012-05-27,10219,200219
30220,accumsan,Cadillac,CT6,2017,197.95,2019-11-28,10220,200220
30221,tempor,Nissan,Rogue,2016,185.99,2013-06-13,10221,200221
30222,metus,Toyota,Tercel,1998,105.99,2012-03-03,10222,200222
30223,efficitur,MAZDA,MAZDA6,2005,12.95,2010-12-11,10223,200223
30224,dolor,Volkswagen,Golf,2014,197.95,2022-07-12,10224,200224
30225,congue,Lincoln,Mark VIII,1996,62.99,2013-12-25,10225,200225
30226,per,Mercedes-Benz,SLK-Class,2006,16.99,2017-09-16,10226,200226
30227,laoreet,Volkswagen,Routan,2014,183.95,2014-10-30,10227,200227
30228,Nullam,BMW,3 Series,2006,11,2010-09-06,10228,200228
30229,dui,Ford,Focus ST,2014,32.99,2019-12-23,10229,200229
30230,vehicula,Volvo,XC70,2013,126.95,2021-08-30,10230,200230
30231,ligula,Pontiac,G5,2007,92.99,2017-10-15,10231,200231
30232,vestibulum,Nissan,Quest,2007,124.95,2017-04-21,10232,200232
30233,amet,GMC,Sonoma Extended Cab,2002,175,2020-07-10,10233,200233
30234,tincidunt,Ferrari,California,2010,59.95,2014-04-17,10234,200234
30235,tristique,Dodge,Ram 3500 Regular Cab,1996,83.99,2022-02-04,10235,200235
30236,Nullam,Toyota,Solara,2005,62.95,2022-10-01,10236,200236
30237,sed,Audi,S6,2013,151,2010-01-22,10237,200237
30238,Sed,Ford,Expedition,2016,22,2011-05-23,10238,200238
30239,mollis,Chevrolet,Blazer,2001,41.99,2022-12-16,10239,200239
30240,nibh,Pontiac,Sunfire,1999,126.95,2016-08-09,10240,200240
30241,orci,GMC,Sierra 1500 Limited Double Cab,2019,24.95,2019-10-24,10241,200241
30242,porttitor,Chevrolet,Astro Passenger,2005,67,2014-07-09,10242,200242
30243,consequat,Chevrolet,Silverado 1500 Regular Cab,2013,75,2014-09-01,10243,200243
30244,urna,MAZDA,MAZDA6,2013,76.99,2015-10-23,10244,200244
30245,eleifend,INFINITI,Q50,2019,118,2010-06-11,10245,200245
30246,eget,Mercedes-Benz,300 E,1993,172,2010-03-23,10246,200246
30247,id,Buick,Park Avenue,2004,152.95,2020-07-29,10247,200247
30248,ad,Oldsmobile,98,1995,72,2021-03-19,10248,200248
30249,maximus,Toyota,Tacoma Regular Cab,2005,94,2016-09-05,10249,200249
30250,eleifend,Chevrolet,Suburban 2500,2009,139.95,2011-11-18,10250,200250
30251,id,Dodge,Grand Caravan Cargo,2005,149,2021-09-28,10251,200251
30252,ornare,Ford,Escape,2005,22.95,2022-02-14,10252,200252
30253,viverra,Hyundai,Sonata,1995,182,2018-09-07,10253,200253
30254,ligula,Oldsmobile,Cutlass Ciera,1993,54,2015-12-05,10254,200254
30255,Donec,Ford,Econoline E150 Cargo,1995,134,2020-03-02,10255,200255
30256,id,Buick,Regal,2012,78,2011-09-20,10256,200256
30257,sollicitudin,Mitsubishi,Endeavor,2005,31.95,2022-01-22,10257,200257
30258,porta,Oldsmobile,LSS,1997,194.99,2021-12-06,10258,200258
30259,tortor,Suzuki,Esteem,1997,155.95,2021-12-19,10259,200259
30260,fermentum,GMC,Sonoma Regular Cab,1994,10.95,2010-01-13,10260,200260
30261,at,GMC,Sierra 2500 HD Regular Cab,2000,83,2010-07-19,10261,200261
30262,varius,GMC,Savana 2500 Cargo,2003,62.99,2015-05-26,10262,200262
30263,Integer,MAZDA,MAZDA6,2018,45.99,2023-04-27,10263,200263
30264,eleifend,Ford,Explorer Sport Trac,2004,99,2010-01-07,10264,200264
30265,Suspendisse,Ford,Transit 150 Van,2017,60.95,2012-07-01,10265,200265
30266,Aliquam,Mitsubishi,Expo,1993,32.95,2018-06-13,10266,200266
30267,et,Lincoln,Navigator L,2013,184.99,2013-01-30,10267,200267
30268,Nullam,Chevrolet,Express 3500 Passenger,2003,80.95,2013-04-04,10268,200268
30269,Suspendisse,Kia,Sportage,2009,155.99,2020-08-20,10269,200269
30270,Quisque,Lexus,LFA,2012,28,2015-01-05,10270,200270
30271,purus,Audi,S4,2007,93.99,2019-11-04,10271,200271
30272,ultricies,Subaru,Forester,2011,54,2017-06-16,10272,200272
30273,pellentesque,Mercury,Grand Marquis,2004,103.99,2019-08-23,10273,200273
30274,turpis,Chrysler,200,2014,74.95,2010-11-08,10274,200274
30275,nec,Plymouth,Voyager,1994,92.99,2014-11-15,10275,200275
30276,id,Lexus,HS,2010,51.95,2023-03-20,10276,200276
30277,fermentum,Nissan,TITAN Single Cab,2017,146.95,2018-10-03,10277,200277
30278,Ut,Honda,Civic,2017,110.95,2023-04-10,10278,200278
30279,eget,Maybach,57,2010,59,2012-06-15,10279,200279
30280,Sed,Toyota,Prius Prime,2019,11,2014-04-20,10280,200280
30281,sed,Kia,Sorento,2003,32,2022-01-01,10281,200281
30282,ante,Volkswagen,Jetta,2018,147,2019-05-14,10282,200282
30283,vulputate,Nissan,240SX,1996,59.99,2014-05-27,10283,200283
30284,semper,Chevrolet,Silverado 2500 Regular Cab,2001,120.99,2022-01-04,10284,200284
30285,quis,Dodge,Sprinter 2500 Passenger,2008,177.95,2010-08-21,10285,200285
30286,ac,Nissan,GT-R,2015,47.95,2012-05-30,10286,200286
30287,id,Chevrolet,Volt,2017,122.95,2019-10-09,10287,200287
30288,Pellentesque,Oldsmobile,Bravada,2003,102.95,2014-11-20,10288,200288
30289,Sed,Hyundai,Azera,2015,87.95,2011-01-07,10289,200289
30290,nisi,GMC,Savana 3500 Passenger,2017,137.99,2021-06-11,10290,200290
30291,ad,Chevrolet,Lumina Cargo,1996,25,2016-05-10,10291,200291
30292,elit,Dodge,Dakota Club Cab,1992,148.99,2016-05-25,10292,200292
30293,nunc,Chevrolet,Express 1500 Cargo,2013,85,2018-05-24,10293,200293
30294,Nulla,Porsche,911,2002,16,2011-02-25,10294,200294
30295,suscipit,Buick,Century,1996,144,2018-02-24,10295,200295
30296,sed,Bentley,Mulsanne,2016,41.95,2017-12-25,10296,200296
30297,sagittis,Oldsmobile,Achieva,1998,118.95,2010-10-11,10297,200297
30298,id,Porsche,Cayenne,2019,48,2017-06-03,10298,200298
30299,quam,Volkswagen,Touareg,2006,83,2014-03-10,10299,200299
30300,odio,Honda,S2000,2000,104.99,2020-06-17,10300,200300
30301,posuere,Cadillac,XT5,2017,122.95,2017-07-05,10301,200301
30302,tincidunt,Oldsmobile,Cutlass Supreme,1994,149,2015-04-24,10302,200302
30303,mollis,Volkswagen,Jetta,2009,44.99,2010-09-25,10303,200303
30304,magna,Ram,3500 Regular Cab,2011,198.99,2019-10-06,10304,200304
30305,convallis,Subaru,BRZ,2017,151.99,2012-09-19,10305,200305
30306,Nam,Toyota,Sienna,2020,32,2021-09-24,10306,200306
30307,interdum,MINI,Cooper,2008,113.95,2021-03-21,10307,200307
30308,eros,Honda,S2000,2001,116,2014-11-04,10308,200308
30309,at,MINI,Clubman,2009,93.99,2020-05-08,10309,200309
30310,maximus,Jaguar,XF,2019,151.99,2021-10-25,10310,200310
30311,lorem,GMC,Rally Wagon 1500,1992,109.95,2015-02-26,10311,200311
30312,dapibus,Ford,Fusion Energi,2013,187,2016-12-14,10312,200312
30313,enim,MAZDA,B-Series Cab Plus,1997,47.95,2016-06-25,10313,200313
30314,mattis,GMC,Sierra 2500 Regular Cab,2004,151.99,2018-09-04,10314,200314
30315,felis,GMC,Sierra 1500 Extended Cab,2010,186.95,2015-12-26,10315,200315
30316,Phasellus,Dodge,Daytona,1992,43,2014-04-20,10316,200316
30317,enim,Ford,Contour,2000,18,2018-10-22,10317,200317
30318,ligula,Ram,ProMaster Window Van,2017,196,2019-12-07,10318,200318
30319,ut,GMC,2500 Club Coupe,1997,91.99,2023-02-02,10319,200319
30320,Donec,Ford,Aerostar Cargo,1993,12.99,2016-08-13,10320,200320
30321,aliquet,Lincoln,MKS,2014,41.95,2020-01-08,10321,200321
30322,tempus,Lexus,GS,2018,108.99,2022-12-27,10322,200322
30323,ligula,Porsche,911,2003,141,2021-12-06,10323,200323
30324,sed,GMC,Envoy,2006,151.95,2022-04-02,10324,200324
30325,eu,Toyota,Tacoma Xtracab,1998,96.99,2018-02-12,10325,200325
30326,ultrices,Mercury,Marauder,2004,149,2017-09-20,10326,200326
30327,mi,Lincoln,Navigator L,2010,180,2015-08-03,10327,200327
30328,elementum,Isuzu,Spacecab,1993,160,2021-10-29,10328,200328
30329,orci,Jaguar,XF,2012,170.99,2014-07-28,10329,200329
30330,nulla,Mercedes-Benz,CLK-Class,1999,94.99,2011-04-19,10330,200330
30331,consectetur,Cadillac,Escalade,2008,198.99,2015-05-25,10331,200331
30332,turpis,Nissan,JUKE,2013,44.99,2010-10-16,10332,200332
30333,arcu,Honda,Accord,2019,94.99,2014-02-13,10333,200333
30334,tincidunt,Subaru,Tribeca,2013,44,2010-11-21,10334,200334
30335,vitae,Volkswagen,Passat,2015,84.99,2017-12-02,10335,200335
30336,nunc,Oldsmobile,88,1997,90,2011-07-09,10336,200336
30337,blandit,Nissan,240SX,1992,35,2011-09-20,10337,200337
30338,scelerisque,GMC,Sierra 2500 HD Extended Cab,2009,117.95,2010-06-26,10338,200338
30339,Fusce,Ford,Edge,2015,89,2018-05-08,10339,200339
30340,vehicula,Chevrolet,Silverado 2500 HD Extended Cab,2007,180,2012-05-03,10340,200340
30341,urna,Kia,Niro,2017,25.95,2023-06-14,10341,200341
30342,Quisque,Mercedes-Benz,Mercedes-AMG GLE,2016,123.95,2010-12-25,10342,200342
30343,blandit,Chevrolet,Malibu,2004,11,2016-05-30,10343,200343
30344,vehicula,GMC,Sierra 2500 HD Regular Cab,2000,114.95,2013-11-14,10344,200344
30345,aliquam,INFINITI,G,2011,140.99,2016-01-17,10345,200345
30346,ante,Dodge,Intrepid,2002,12.99,2019-12-18,10346,200346
30347,nec,GMC,Savana 3500 Cargo,1999,76,2017-09-09,10347,200347
30348,elit,Nissan,LEAF,2015,46.95,2012-04-26,10348,200348
30349,egestas,GMC,Jimmy,1993,46.95,2020-11-03,10349,200349
30350,maximus,Scion,xA,2005,198.95,2011-01-07,10350,200350
30351,sed,Chrysler,Pacifica Hybrid,2018,50.95,2017-12-07,10351,200351
30352,quam,Ferrari,California,2011,16,2012-02-20,10352,200352
30353,odio,Mercedes-Benz,CLK-Class,2008,93.95,2016-09-06,10353,200353
30354,eget,Suzuki,Verona,2006,101.95,2023-03-31,10354,200354
30355,Cras,GMC,Sierra 2500 HD Double Cab,2015,184.99,2021-04-19,10355,200355
30356,quam,Kia,Sportage,2002,12.99,2017-03-18,10356,200356
30357,ligula,Ford,Econoline E150 Cargo,1994,102,2013-08-31,10357,200357
30358,diam,GMC,Sonoma Regular Cab,1993,86.99,2014-07-29,10358,200358
30359,blandit,Mercedes-Benz,B-Class,2017,82,2017-02-06,10359,200359
30360,volutpat,MAZDA,MX-5 Miata,1993,74,2017-04-17,10360,200360
30361,libero,MAZDA,MPV,1993,38.95,2020-07-02,10361,200361
